Date,Date_th,num3_top,num2_top,num2
16/10/92,16/10/35,993,93,79
1/10/92,1/10/35,578,78,71
16/9/92,16/9/35,108,8,88
1/9/92,1/9/35,615,15,68
16/8/92,16/8/35,607,7,91
1/8/92,1/8/35,778,78,86
16/7/92,16/7/35,430,30,87
1/7/92,1/7/35,968,68,56
16/6/92,16/6/35,432,32,92
1/6/92,1/6/35,191,91,29
16/5/92,16/5/35,496,96,59
2/5/92,2/5/35,397,97,86
16/4/92,16/4/35,374,74,10
1/4/92,1/4/35,704,4,03
16/3/92,16/3/35,353,53,48
